04/10 08:02:24.717/IST   WARN - Session Config - 2# no announce.new.markets property found in initialization file; defaulting to false
04/10 08:03:51.777/IST   INFO -  PriceAction - 901# test2 traded with the market maker for 0 of IPL2012:Kings XI Punjab changing the price from 1.4494 to 1.4513
04/10 08:03:51.777/IST   INFO -  PriceAction - 902# test2 traded with the market maker for 0 of IPL2012:Pune Warriors India changing the price from 10.3646 to 10.3783
04/10 08:03:51.855/IST   INFO -     NewChart - The chart for IPL2012 has been updated.
04/10 08:03:51.856/IST   INFO -  PriceChange - prices in market 'IPL2012' changed.  IPL2012:Deccan Chargers: 17, IPL2012:Rajasthan Royals: 7, IPL2012:Kolkata Knight Riders: 32, IPL2012:Mumbai Indians: 1, IPL2012:Royal Challengers Bangalore: 28, IPL2012:Delhi Daredevils: 1, IPL2012:Chennai Super Kings: 1, IPL2012:Kings XI Punjab: 1, IPL2012:Pune Warriors India: 10
04/10 08:03:51.948/IST   INFO -     NewChart - The chart for IPL2012 has been updated.
04/10 08:03:51.948/IST   WARN -    UserError - 912# told test2 "Sold 3.960".
04/10 08:03:55.272/IST  DEBUG -      Trading - test2 wants to liquidate Chennai Super Kings
04/10 08:03:55.281/IST   INFO -  PriceAction - 1093# test2 traded with the market maker for 0 of IPL2012:Pune Warriors India changing the price from 10.3783 to 10.3822
04/10 08:03:55.282/IST   INFO -  PriceAction - 1094# test2 traded with the market maker for 0 of IPL2012:Mumbai Indians changing the price from 1.4513 to 1.4519
04/10 08:03:55.282/IST   INFO -  PriceAction - 1095# test2 traded with the market maker for 0 of IPL2012:Kolkata Knight Riders changing the price from 31.7413 to 31.7531
04/10 08:03:55.282/IST   INFO -  PriceAction - 1096# test2 traded with the market maker for -1.151 of IPL2012:Chennai Super Kings changing the price from 1.4885 to 1.4519
04/10 08:03:55.283/IST   INFO -  PriceAction - 1097# test2 traded with the market maker for 0 of IPL2012:Kings XI Punjab changing the price from 1.4513 to 1.4519
04/10 08:03:55.283/IST   INFO -  PriceAction - 1098# test2 traded with the market maker for 0 of IPL2012:Rajasthan Royals changing the price from 7.2189 to 7.2216
04/10 08:03:55.283/IST   INFO -  PriceAction - 1099# test2 traded with the market maker for 0 of IPL2012:Delhi Daredevils changing the price from 1.4513 to 1.4519
04/10 08:03:55.284/IST   INFO -  PriceAction - 1100# test2 traded with the market maker for 0 of IPL2012:Deccan Chargers changing the price from 16.5404 to 16.5466
04/10 08:03:55.284/IST   INFO -  PriceAction - 1101# test2 traded with the market maker for 0 of IPL2012:Royal Challengers Bangalore changing the price from 28.2785 to 28.289
04/10 08:03:55.362/IST   INFO -     NewChart - The chart for IPL2012 has been updated.
04/10 08:03:55.362/IST   INFO -  PriceChange - prices in market 'IPL2012' changed.  IPL2012:Pune Warriors India: 10, IPL2012:Mumbai Indians: 1, IPL2012:Kolkata Knight Riders: 32, IPL2012:Chennai Super Kings: 1, IPL2012:Kings XI Punjab: 1, IPL2012:Rajasthan Royals: 7, IPL2012:Delhi Daredevils: 1, IPL2012:Deccan Chargers: 17, IPL2012:Royal Challengers Bangalore: 28
04/10 08:03:55.456/IST   INFO -     NewChart - The chart for IPL2012 has been updated.
04/10 08:03:55.457/IST   WARN -    UserError - 1111# told test2 "Sold 1.151".
04/10 08:04:06.015/IST  DEBUG -      Trading - test2 wants to liquidate Kolkata Knight Riders
04/10 08:04:06.033/IST   INFO -  PriceAction - 1301# test2 traded with the market maker for 0 of IPL2012:Mumbai Indians changing the price from 1.4519 to 2.0831
04/10 08:04:06.033/IST   INFO -  PriceAction - 1302# test2 traded with the market maker for 0 of IPL2012:Kings XI Punjab changing the price from 1.4519 to 2.0831
04/10 08:04:06.034/IST   INFO -  PriceAction - 1303# test2 traded with the market maker for 0 of IPL2012:Rajasthan Royals changing the price from 7.2216 to 10.3612
04/10 08:04:06.034/IST   INFO -  PriceAction - 1304# test2 traded with the market maker for 0 of IPL2012:Deccan Chargers changing the price from 16.5466 to 23.7402
04/10 08:04:06.034/IST   INFO -  PriceAction - 1305# test2 traded with the market maker for 0 of IPL2012:Delhi Daredevils changing the price from 1.4519 to 2.0831
04/10 08:04:06.035/IST   INFO -  PriceAction - 1306# test2 traded with the market maker for 0 of IPL2012:Pune Warriors India changing the price from 10.3822 to 14.8958
04/10 08:04:06.035/IST   INFO -  PriceAction - 1307# test2 traded with the market maker for -140.41 of IPL2012:Kolkata Knight Riders changing the price from 31.7531 to 2.0831
04/10 08:04:06.035/IST   INFO -  PriceAction - 1308# test2 traded with the market maker for 0 of IPL2012:Royal Challengers Bangalore changing the price from 28.289 to 40.5875
04/10 08:04:06.036/IST   INFO -  PriceAction - 1309# test2 traded with the market maker for 0 of IPL2012:Chennai Super Kings changing the price from 1.4519 to 2.0831
04/10 08:04:06.108/IST   INFO -     NewChart - The chart for IPL2012 has been updated.
04/10 08:04:06.108/IST   INFO -  PriceChange - prices in market 'IPL2012' changed.  IPL2012:Mumbai Indians: 2, IPL2012:Kings XI Punjab: 2, IPL2012:Rajasthan Royals: 10, IPL2012:Deccan Chargers: 24, IPL2012:Delhi Daredevils: 2, IPL2012:Pune Warriors India: 15, IPL2012:Kolkata Knight Riders: 2, IPL2012:Royal Challengers Bangalore: 41, IPL2012:Chennai Super Kings: 2
04/10 08:04:06.182/IST   INFO -     NewChart - The chart for IPL2012 has been updated.
04/10 08:04:06.182/IST   WARN -    UserError - 1319# told test2 "Sold 140.410".
04/10 08:04:09.774/IST  DEBUG -      Trading - test2 wants to liquidate Pune Warriors India
04/10 08:04:09.788/IST   INFO -  PriceAction - 1518# test2 traded with the market maker for 0 of IPL2012:Delhi Daredevils changing the price from 2.0831 to 2.3892
04/10 08:04:09.789/IST   INFO -  PriceAction - 1519# test2 traded with the market maker for 0 of IPL2012:Royal Challengers Bangalore changing the price from 40.5875 to 46.552
04/10 08:04:09.789/IST   INFO -  PriceAction - 1520# test2 traded with the market maker for 0 of IPL2012:Rajasthan Royals changing the price from 10.3612 to 11.8838
04/10 08:04:09.789/IST   INFO -  PriceAction - 1521# test2 traded with the market maker for 0 of IPL2012:Kolkata Knight Riders changing the price from 2.0831 to 2.3892
04/10 08:04:09.790/IST   INFO -  PriceAction - 1522# test2 traded with the market maker for 0 of IPL2012:Deccan Chargers changing the price from 23.7402 to 27.2289
04/10 08:04:09.790/IST   INFO -  PriceAction - 1523# test2 traded with the market maker for 0 of IPL2012:Mumbai Indians changing the price from 2.0831 to 2.3892
04/10 08:04:09.790/IST   INFO -  PriceAction - 1524# test2 traded with the market maker for 0 of IPL2012:Kings XI Punjab changing the price from 2.0831 to 2.3892
04/10 08:04:09.791/IST   INFO -  PriceAction - 1525# test2 traded with the market maker for 0 of IPL2012:Chennai Super Kings changing the price from 2.0831 to 2.3892
04/10 08:04:09.791/IST   INFO -  PriceAction - 1526# test2 traded with the market maker for -89.532 of IPL2012:Pune Warriors India changing the price from 14.8958 to 2.3892
04/10 08:04:09.949/IST   INFO -     NewChart - The chart for IPL2012 has been updated.
04/10 08:04:09.950/IST   INFO -  PriceChange - prices in market 'IPL2012' changed.  IPL2012:Delhi Daredevils: 2, IPL2012:Royal Challengers Bangalore: 47, IPL2012:Rajasthan Royals: 12, IPL2012:Kolkata Knight Riders: 2, IPL2012:Deccan Chargers: 27, IPL2012:Mumbai Indians: 2, IPL2012:Kings XI Punjab: 2, IPL2012:Chennai Super Kings: 2, IPL2012:Pune Warriors India: 2
04/10 08:04:10.030/IST   INFO -     NewChart - The chart for IPL2012 has been updated.
04/10 08:04:10.030/IST   WARN -    UserError - 1536# told test2 "Sold 89.532".
04/10 08:04:16.529/IST  DEBUG -      Trading - test2 wants to liquidate Kolkata Knight Riders
04/10 08:04:16.601/IST   INFO -     NewChart - The chart for IPL2012 has been updated.
04/10 08:04:16.601/IST   WARN -    UserError - 1753# told test2 "Sold 0.000".
04/10 08:04:19.624/IST  DEBUG -      Trading - test2 wants to liquidate Deccan Chargers
04/10 08:04:19.635/IST   INFO -  PriceAction - 1970# test2 traded with the market maker for 0 of IPL2012:Kolkata Knight Riders changing the price from 2.3892 to 3.1788
04/10 08:04:19.636/IST   INFO -  PriceAction - 1971# test2 traded with the market maker for 0 of IPL2012:Rajasthan Royals changing the price from 11.8838 to 15.8113
04/10 08:04:19.636/IST   INFO -  PriceAction - 1972# test2 traded with the market maker for 0 of IPL2012:Royal Challengers Bangalore changing the price from 46.552 to 61.937
04/10 08:04:19.637/IST   INFO -  PriceAction - 1973# test2 traded with the market maker for 0 of IPL2012:Pune Warriors India changing the price from 2.3892 to 3.1788
04/10 08:04:19.638/IST   INFO -  PriceAction - 1974# test2 traded with the market maker for 0 of IPL2012:Mumbai Indians changing the price from 2.3892 to 3.1788
04/10 08:04:19.638/IST   INFO -  PriceAction - 1975# test2 traded with the market maker for 0 of IPL2012:Chennai Super Kings changing the price from 2.3892 to 3.1788
04/10 08:04:19.639/IST   INFO -  PriceAction - 1976# test2 traded with the market maker for 0 of IPL2012:Kings XI Punjab changing the price from 2.3892 to 3.1788
04/10 08:04:19.639/IST   INFO -  PriceAction - 1977# test2 traded with the market maker for -110.745 of IPL2012:Deccan Chargers changing the price from 27.2289 to 3.1788
04/10 08:04:19.640/IST   INFO -  PriceAction - 1978# test2 traded with the market maker for 0 of IPL2012:Delhi Daredevils changing the price from 2.3892 to 3.1788
04/10 08:04:19.709/IST   INFO -     NewChart - The chart for IPL2012 has been updated.
04/10 08:04:19.710/IST   INFO -  PriceChange - prices in market 'IPL2012' changed.  IPL2012:Kolkata Knight Riders: 3, IPL2012:Rajasthan Royals: 16, IPL2012:Royal Challengers Bangalore: 62, IPL2012:Pune Warriors India: 3, IPL2012:Mumbai Indians: 3, IPL2012:Chennai Super Kings: 3, IPL2012:Kings XI Punjab: 3, IPL2012:Deccan Chargers: 3, IPL2012:Delhi Daredevils: 3
04/10 08:04:19.777/IST   INFO -     NewChart - The chart for IPL2012 has been updated.
04/10 08:04:19.777/IST   WARN -    UserError - 1979# told test2 "Sold 110.745".
04/10 08:04:23.582/IST  DEBUG -      Trading - test2 wants to liquidate Rajasthan Royals
04/10 08:04:23.596/IST   INFO -  PriceAction - 2196# test2 traded with the market maker for 0 of IPL2012:Royal Challengers Bangalore changing the price from 61.937 to 70.8924
04/10 08:04:23.596/IST   INFO -  PriceAction - 2197# test2 traded with the market maker for 0 of IPL2012:Kolkata Knight Riders changing the price from 3.1788 to 3.6384
04/10 08:04:23.597/IST   INFO -  PriceAction - 2198# test2 traded with the market maker for 0 of IPL2012:Mumbai Indians changing the price from 3.1788 to 3.6384
04/10 08:04:23.597/IST   INFO -  PriceAction - 2199# test2 traded with the market maker for 0 of IPL2012:Chennai Super Kings changing the price from 3.1788 to 3.6384
04/10 08:04:23.597/IST   INFO -  PriceAction - 2200# test2 traded with the market maker for 0 of IPL2012:Pune Warriors India changing the price from 3.1788 to 3.6384
04/10 08:04:23.598/IST   INFO -  PriceAction - 2201# test2 traded with the market maker for 0 of IPL2012:Delhi Daredevils changing the price from 3.1788 to 3.6384
04/10 08:04:23.598/IST   INFO -  PriceAction - 2202# test2 traded with the market maker for 0 of IPL2012:Kings XI Punjab changing the price from 3.1788 to 3.6384
04/10 08:04:23.599/IST   INFO -  PriceAction - 2203# test2 traded with the market maker for 0 of IPL2012:Deccan Chargers changing the price from 3.1788 to 3.6384
04/10 08:04:23.600/IST   INFO -  PriceAction - 2204# test2 traded with the market maker for -73.011 of IPL2012:Rajasthan Royals changing the price from 15.8113 to 3.6384
04/10 08:04:23.667/IST   INFO -     NewChart - The chart for IPL2012 has been updated.
04/10 08:04:23.667/IST   INFO -  PriceChange - prices in market 'IPL2012' changed.  IPL2012:Royal Challengers Bangalore: 71, IPL2012:Kolkata Knight Riders: 4, IPL2012:Mumbai Indians: 4, IPL2012:Chennai Super Kings: 4, IPL2012:Pune Warriors India: 4, IPL2012:Delhi Daredevils: 4, IPL2012:Kings XI Punjab: 4, IPL2012:Deccan Chargers: 4, IPL2012:Rajasthan Royals: 4
04/10 08:04:23.740/IST   INFO -     NewChart - The chart for IPL2012 has been updated.
04/10 08:04:23.740/IST   WARN -    UserError - 2214# told test2 "Sold 73.011".
04/10 08:04:27.170/IST  DEBUG -      Trading - test2 wants to liquidate Royal Challengers Bangalore
