04/07 04:11:49.332/IST   WARN - Session Config - 2# no announce.new.markets property found in initialization file; defaulting to false
04/07 04:18:52.521/IST   INFO -  PriceAction - 1902# test1 traded with the market maker for 0 of IPL11:8 changing the price from 8 to 7.6866
04/07 04:18:52.522/IST   INFO -  PriceAction - 1903# test1 traded with the market maker for 0 of IPL11:4 changing the price from 4.412 to 4.2391
04/07 04:18:52.523/IST   INFO -  PriceAction - 1904# test1 traded with the market maker for 0 of IPL11:7 changing the price from 3.9438 to 3.7893
04/07 04:18:52.523/IST   INFO -  PriceAction - 1905# test1 traded with the market maker for 0 of IPL11:3 changing the price from 8.5495 to 8.2146
04/07 04:18:52.524/IST   INFO -  PriceAction - 1906# test1 traded with the market maker for 0 of IPL11:2 changing the price from 6.2556 to 6.0106
04/07 04:18:52.524/IST   INFO -  PriceAction - 1907# test1 traded with the market maker for 9.489 of IPL11:9 changing the price from 21.9424 to 25
04/07 04:18:52.525/IST   INFO -  PriceAction - 1908# test1 traded with the market maker for 0 of IPL11:5 changing the price from 23.221 to 22.3114
04/07 04:18:52.526/IST   INFO -  PriceAction - 1909# test1 traded with the market maker for 0 of IPL11:6 changing the price from 9.8835 to 9.4964
04/07 04:18:52.526/IST   INFO -  PriceAction - 1910# test1 traded with the market maker for 0 of IPL11:1 changing the price from 13.7922 to 13.2519
04/07 04:18:52.594/IST   INFO -     NewChart - The chart for IPL11 has been updated.
04/07 04:18:52.595/IST   INFO -  PriceChange - prices in market 'IPL11' changed.  IPL11:8: 8, IPL11:4: 4, IPL11:7: 4, IPL11:3: 8, IPL11:2: 6, IPL11:9: 25, IPL11:5: 22, IPL11:6: 9, IPL11:1: 13
04/07 04:18:52.595/IST   WARN -    UserError - 1911# told test1 "Bought 9.489 from MarketMaker.".
04/07 04:18:52.704/IST   INFO -     NewChart - The chart for IPL11 has been updated.
04/07 04:19:55.120/IST  DEBUG -      Trading - test1 wants to buy 9 with limit of 100 @ 50.
04/07 04:19:55.151/IST   INFO -  PriceAction - 2236# test1 traded with the market maker for 0 of IPL11:8 changing the price from 7.6866 to 5.1244
04/07 04:19:55.151/IST   INFO -  PriceAction - 2237# test1 traded with the market maker for 45.222 of IPL11:9 changing the price from 25 to 50
04/07 04:19:55.152/IST   INFO -  PriceAction - 2238# test1 traded with the market maker for 0 of IPL11:2 changing the price from 6.0106 to 4.007
04/07 04:19:55.152/IST   INFO -  PriceAction - 2239# test1 traded with the market maker for 0 of IPL11:7 changing the price from 3.7893 to 2.5262
04/07 04:19:55.153/IST   INFO -  PriceAction - 2240# test1 traded with the market maker for 0 of IPL11:4 changing the price from 4.2391 to 2.8261
04/07 04:19:55.153/IST   INFO -  PriceAction - 2241# test1 traded with the market maker for 0 of IPL11:3 changing the price from 8.2146 to 5.4764
04/07 04:19:55.154/IST   INFO -  PriceAction - 2242# test1 traded with the market maker for 0 of IPL11:6 changing the price from 9.4964 to 6.3309
04/07 04:19:55.154/IST   INFO -  PriceAction - 2243# test1 traded with the market maker for 0 of IPL11:1 changing the price from 13.2519 to 8.8346
04/07 04:19:55.154/IST   INFO -  PriceAction - 2244# test1 traded with the market maker for 0 of IPL11:5 changing the price from 22.3114 to 14.8743
04/07 04:19:55.238/IST   INFO -     NewChart - The chart for IPL11 has been updated.
04/07 04:19:55.239/IST   INFO -  PriceChange - prices in market 'IPL11' changed.  IPL11:8: 5, IPL11:9: 50, IPL11:2: 4, IPL11:7: 3, IPL11:4: 3, IPL11:3: 5, IPL11:6: 6, IPL11:1: 9, IPL11:5: 15
