04/07 01:49:06.547/IST   WARN - Session Config - 2# no announce.new.markets property found in initialization file; defaulting to false
04/07 01:49:06.549/IST   WARN -       Config - Using Cost Limit Purchase pages
04/07 01:49:06.609/IST   INFO -        trace -    creating AllMarkets
04/07 01:49:08.375/IST   INFO -   AllMarkets -  opened port '30000'.  Browse to                    http://<<yourhost>>:30000/Welcome.jsp
04/07 01:49:08.375/IST   WARN - Session Config - 34# no RPC.server.enable property found in initialization file; defaulting to false
04/07 01:49:22.217/IST   WARN -    UserError - 35# told User(logging in) "Please type an account name and password".
04/07 01:49:28.704/IST   INFO -     NewChart - The chart for IPL11 has been updated.
04/07 01:49:39.683/IST  DEBUG -      Trading - test1 wants to buy 2 with limit of 100 @ 99.
04/07 02:12:37.412/IST  DEBUG -      Trading - test1 wants to buy 1 with limit of 100 @ 30.
04/07 02:12:44.202/IST  DEBUG -      Trading - test1 wants to buy 1 with limit of 100 @ 13.
04/07 02:12:44.225/IST   INFO -  PriceAction - 81# test1 traded with the market maker for 0 of IPL11:5 changing the price from 9.8876 to 9.6423
04/07 02:12:44.229/IST   INFO -  PriceAction - 82# test1 traded with the market maker for 0 of IPL11:2 changing the price from 9.8876 to 9.6423
04/07 02:12:44.230/IST   INFO -  PriceAction - 83# test1 traded with the market maker for 0 of IPL11:3 changing the price from 20 to 19.5038
04/07 02:12:44.230/IST   INFO -  PriceAction - 84# test1 traded with the market maker for 2.437 of IPL11:1 changing the price from 10.7865 to 13
04/07 02:12:44.230/IST   INFO -  PriceAction - 85# test1 traded with the market maker for 0 of IPL11:6 changing the price from 9.8876 to 9.6423
04/07 02:12:44.231/IST   INFO -  PriceAction - 86# test1 traded with the market maker for 0 of IPL11:8 changing the price from 9.8876 to 9.6423
04/07 02:12:44.231/IST   INFO -  PriceAction - 87# test1 traded with the market maker for 0 of IPL11:9 changing the price from 9.8876 to 9.6423
04/07 02:12:44.231/IST   INFO -  PriceAction - 88# test1 traded with the market maker for 0 of IPL11:4 changing the price from 9.8876 to 9.6423
04/07 02:12:44.232/IST   INFO -  PriceAction - 89# test1 traded with the market maker for 0 of IPL11:7 changing the price from 9.8876 to 9.6423
04/07 02:12:44.312/IST   INFO -     NewChart - The chart for IPL11 has been updated.
04/07 02:12:44.313/IST   INFO -  PriceChange - prices in market 'IPL11' changed.  IPL11:5: 10, IPL11:2: 10, IPL11:3: 20, IPL11:1: 13, IPL11:6: 10, IPL11:8: 10, IPL11:9: 10, IPL11:4: 10, IPL11:7: 10
04/07 02:12:44.313/IST   WARN -    UserError - 117# told test1 "Bought 2.437 from MarketMaker.".
04/07 02:12:44.429/IST   INFO -     NewChart - The chart for IPL11 has been updated.
04/07 02:12:50.687/IST  DEBUG -      Trading - test1 wants to buy 5 with limit of 100 @ 15.
04/07 02:12:50.711/IST   INFO -  PriceAction - 145# test1 traded with the market maker for 0 of IPL11:9 changing the price from 9.6423 to 9.0706
04/07 02:12:50.711/IST   INFO -  PriceAction - 146# test1 traded with the market maker for 0 of IPL11:8 changing the price from 9.6423 to 9.0706
04/07 02:12:50.712/IST   INFO -  PriceAction - 147# test1 traded with the market maker for 0 of IPL11:2 changing the price from 9.6423 to 9.0706
04/07 02:12:50.712/IST   INFO -  PriceAction - 148# test1 traded with the market maker for 0 of IPL11:4 changing the price from 9.6423 to 9.0706
04/07 02:12:50.712/IST   INFO -  PriceAction - 149# test1 traded with the market maker for 0 of IPL11:3 changing the price from 19.5038 to 18.3473
04/07 02:12:50.713/IST   INFO -  PriceAction - 150# test1 traded with the market maker for 0 of IPL11:1 changing the price from 13 to 12.2292
04/07 02:12:50.713/IST   INFO -  PriceAction - 151# test1 traded with the market maker for 0 of IPL11:6 changing the price from 9.6423 to 9.0706
04/07 02:12:50.713/IST   INFO -  PriceAction - 152# test1 traded with the market maker for 4.456 of IPL11:5 changing the price from 9.6423 to 15
04/07 02:12:50.714/IST   INFO -  PriceAction - 153# test1 traded with the market maker for 0 of IPL11:7 changing the price from 9.6423 to 9.0706
04/07 02:12:50.782/IST   INFO -     NewChart - The chart for IPL11 has been updated.
04/07 02:12:50.782/IST   INFO -  PriceChange - prices in market 'IPL11' changed.  IPL11:9: 9, IPL11:8: 9, IPL11:2: 9, IPL11:4: 9, IPL11:3: 18, IPL11:1: 12, IPL11:6: 9, IPL11:5: 15, IPL11:7: 9
04/07 02:12:50.783/IST   WARN -    UserError - 154# told test1 "Bought 4.456 from MarketMaker.".
04/07 02:12:50.882/IST   INFO -     NewChart - The chart for IPL11 has been updated.
04/07 10:22:36.441/IST  DEBUG -      Trading - test1 wants to buy 1 with limit of 100 @ 15.
04/07 10:22:36.473/IST   INFO -  PriceAction - 191# test1 traded with the market maker for 0 of IPL11:8 changing the price from 9.0706 to 8.7842
04/07 10:22:36.474/IST   INFO -  PriceAction - 192# test1 traded with the market maker for 0 of IPL11:2 changing the price from 9.0706 to 8.7842
04/07 10:22:36.474/IST   INFO -  PriceAction - 193# test1 traded with the market maker for 0 of IPL11:3 changing the price from 18.3473 to 17.7681
04/07 10:22:36.475/IST   INFO -  PriceAction - 194# test1 traded with the market maker for 0 of IPL11:9 changing the price from 9.0706 to 8.7842
04/07 10:22:36.475/IST   INFO -  PriceAction - 195# test1 traded with the market maker for 0 of IPL11:6 changing the price from 9.0706 to 8.7842
04/07 10:22:36.475/IST   INFO -  PriceAction - 196# test1 traded with the market maker for 5.005 of IPL11:1 changing the price from 12.2292 to 15
04/07 10:22:36.476/IST   INFO -  PriceAction - 197# test1 traded with the market maker for 0 of IPL11:4 changing the price from 9.0706 to 8.7842
04/07 10:22:36.476/IST   INFO -  PriceAction - 198# test1 traded with the market maker for 0 of IPL11:7 changing the price from 9.0706 to 8.7842
04/07 10:22:36.476/IST   INFO -  PriceAction - 199# test1 traded with the market maker for 0 of IPL11:5 changing the price from 15 to 14.5265
04/07 10:22:36.560/IST   INFO -     NewChart - The chart for IPL11 has been updated.
04/07 10:22:36.561/IST   INFO -  PriceChange - prices in market 'IPL11' changed.  IPL11:8: 9, IPL11:2: 9, IPL11:3: 18, IPL11:9: 9, IPL11:6: 9, IPL11:1: 15, IPL11:4: 9, IPL11:7: 9, IPL11:5: 15
04/07 10:22:36.561/IST   WARN -    UserError - 245# told test1 "Bought 5.005 from MarketMaker.".
04/07 10:22:36.661/IST   INFO -     NewChart - The chart for IPL11 has been updated.
04/07 10:22:44.972/IST  DEBUG -      Trading - test1 wants to sell 1 with limit of 100 @ 13.
